template,program,dataset_name,level,dimension_table,dimension_col,merge_on_col,dataset_col,dataset_datatype,group_by_col,agg_col_table,agg_col,numerator,denominator,agg_function,target_table,update_col,filter_col,filter_type,filter
EventToCubePerIncrement,SAC,students_attendance_compliance_by_school,school_level,ingestion.school_details,school_id,school_id,"date,school_id,sum_students_attendance_marked,sum_total_students,percentage","string,number, number, number, float","date,school_id",event,"students_attendance_marked,total_students",students_attendance_marked,total_students,sum,ingestion.students_attendance_compliance_by_school,"sum_students_attendance_marked,sum_total_students,percentage",,,
CubeToCubePerFilterIncrement,SAC,students_attendance_compliance_by_cluster,cluster_level,ingestion.school_details,"school_id,cluster_id",school_id,"date,cluster_id,count_schools_attendance_marked_above_50_per,count_total_schools,percentage","string,number, number, number, float","date,cluster_id",ingestion.students_attendance_compliance_by_school,school_id,school_id_x,school_id_y,count,ingestion.students_attendance_compliance_by_cluster,"count_schools_attendance_marked_above_50_per,count_total_schools,percentage",percentage,{>=},50
CubeToCubePerIncrement,SAC,students_attendance_compliance_by_block,block_level,ingestion.school_details,"cluster_id,block_id",cluster_id,"date,block_id,count_schools_attendance_marked_above_50_per,count_total_schools,percentage","string, number, number, number, float","date,block_id",ingestion.students_attendance_compliance_by_cluster,"count_schools_attendance_marked_above_50_per,count_total_schools",count_schools_attendance_marked_above_50_per,count_total_schools,sum,ingestion.students_attendance_compliance_by_block,"count_schools_attendance_marked_above_50_per,count_total_schools,percentage",,,
CubeToCubePerIncrement,SAC,students_attendance_compliance_by_district,district_level,ingestion.school_details,"block_id,district_id",block_id,"date,district_id,count_schools_attendance_marked_above_50_per,count_total_schools,percentage","string, number, number, number, float","date,district_id",ingestion.students_attendance_compliance_by_block,"count_schools_attendance_marked_above_50_per,count_total_schools",count_schools_attendance_marked_above_50_per,count_total_schools,sum,ingestion.students_attendance_compliance_by_district,"count_schools_attendance_marked_above_50_per,count_total_schools,percentage",,,
CubeToCubePerIncrement,SAC,students_attendance_compliance_by_state,state_level,ingestion.school_details,"district_id,state_id",district_id,"date,state_id,count_schools_attendance_marked_above_50_per,count_total_schools,percentage","string, number, number, number, float","date,state_id",ingestion.students_attendance_compliance_by_district,"count_schools_attendance_marked_above_50_per,count_total_schools",count_schools_attendance_marked_above_50_per,count_total_schools,sum,ingestion.students_attendance_compliance_by_state,"count_schools_attendance_marked_above_50_per,count_total_schools,percentage",,,
EventToCubePerIncrement,SAC,students_average_attendance_by_grade,class_level,ingestion.school_details,school_id,school_id,"date,school_id,grade,sum_students_marked_present,sum_students_attendance_marked,percentage","string,number, number, number, number, float","date,school_id,grade",event,"students_marked_present, students_attendance_marked",students_marked_present,students_attendance_marked,sum,ingestion.students_average_attendance_by_grade,"sum_students_marked_present, sum_students_attendance_marked,percentage",,,
CubeToCubePerIncrement,SAC,students_average_attendance_by_school,school_level,ingestion.school_details,school_id,school_id,"date,school_id,sum_students_marked_present,sum_students_attendance_marked,percentage","string, number, number, number, float","date,school_id",ingestion.students_average_attendance_by_grade,"sum_students_marked_present, sum_students_attendance_marked",sum_students_marked_present,sum_students_attendance_marked,sum,ingestion.students_average_attendance_by_school,"sum_students_marked_present, sum_students_attendance_marked,percentage",,,
CubeToCubePerIncrement,SAC,students_average_attendance_by_cluster,cluster_level,ingestion.school_details,"school_id,cluster_id",school_id,"date,cluster_id,sum_students_marked_present,sum_students_attendance_marked,percentage","string, number, number, number, float","date,cluster_id",ingestion.students_average_attendance_by_school,"sum_students_marked_present, sum_students_attendance_marked",sum_students_marked_present,sum_students_attendance_marked,sum,ingestion.students_average_attendance_by_cluster,"sum_students_marked_present, sum_students_attendance_marked,percentage",,,
CubeToCubePerIncrement,SAC,students_average_attendance_by_block,block_level,ingestion.school_details,"cluster_id,block_id",cluster_id,"date,block_id,sum_students_marked_present,sum_students_attendance_marked,percentage","string, number, number, number, float","date,block_id",ingestion.students_average_attendance_by_cluster,"sum_students_marked_present, sum_students_attendance_marked",sum_students_marked_present,sum_students_attendance_marked,sum,ingestion.students_average_attendance_by_block,"sum_students_marked_present, sum_students_attendance_marked,percentage",,,
CubeToCubePerIncrement,SAC,students_average_attendance_by_district,district_level,ingestion.school_details,"block_id,district_id",block_id,"date,district_id,sum_students_marked_present,sum_students_attendance_marked,percentage","string, number,number,number, float","date,district_id",ingestion.students_average_attendance_by_block,"sum_students_marked_present, sum_students_attendance_marked",sum_students_marked_present,sum_students_attendance_marked,sum,ingestion.students_average_attendance_by_district,"sum_students_marked_present, sum_students_attendance_marked,percentage",,,
CubeToCubePerIncrement,SAC,students_average_attendance_by_state,state_level,ingestion.school_details,"district_id,state_id",district_id,"date,state_id,sum_students_marked_present,sum_students_attendance_marked,percentage","string, number, number, number, float","date,state_id",ingestion.students_average_attendance_by_district,"sum_students_marked_present, sum_students_attendance_marked",sum_students_marked_present,sum_students_attendance_marked,sum,ingestion.students_average_attendance_by_state,"sum_students_marked_present, sum_students_attendance_marked,percentage",,,
