academic_year,school_id,grade,gender,student_category,students_enrolled,cwsn_enrolment
2022-12-20,9430,11,Female,secondary,86,2
2022-12-20,9422,5,Female,upper_primary,75,5
2022-12-20,9436,8,Female,senior_secondary,93,4
2022-12-20,9324,4,Male,senior_secondary,86,3
2022-12-20,9198,2,Male,primary,47,5
2022-12-20,9235,2,Male,senior_secondary,44,2
2022-12-20,9406,8,Male,upper_primary,37,2
2022-12-20,9201,10,Male,senior_secondary,32,3
2022-12-20,9394,5,Male,senior_secondary,55,4
2022-12-20,9262,1,Male,secondary,92,2
2022-12-20,9399,3,Female,primary,94,2
2022-12-20,9069,1,Female,primary,64,2
2022-12-20,9294,1,Female,upper_primary,73,5
2022-12-20,9414,5,Female,upper_primary,79,5
2022-12-20,9047,9,Male,upper_primary,50,5
2022-12-20,9195,9,Female,senior_secondary,55,2
2022-12-20,9119,11,Male,primary,87,2
2022-12-20,9293,6,Male,upper_primary,75,4
2022-12-20,9097,12,Male,senior_secondary,74,5
2022-12-20,9042,11,Male,primary,75,2
2022-12-20,9135,6,Male,secondary,60,3
2022-12-20,9149,12,Male,upper_primary,34,3
2022-12-20,9488,12,Male,senior_secondary,40,2
2022-12-20,9521,12,Male,senior_secondary,73,5
2022-12-20,9094,4,Female,secondary,45,4
2022-12-20,9077,6,Male,senior_secondary,96,2
2022-12-20,9579,12,Male,upper_primary,67,2
2022-12-20,9181,8,Female,primary,54,5
2022-12-20,9521,4,Male,senior_secondary,81,5
2022-12-20,9079,7,Male,primary,98,3
2022-12-20,9064,6,Male,senior_secondary,31,4
2022-12-20,9553,7,Female,secondary,79,3
2022-12-20,9352,7,Male,upper_primary,43,2
2022-12-20,9097,9,Female,secondary,82,2
2022-12-20,9036,11,Female,primary,20,2
2022-12-20,9209,11,Male,upper_primary,22,2
2022-12-20,9321,6,Male,upper_primary,24,3
2022-12-20,9002,5,Female,secondary,36,4
2022-12-20,9178,4,Female,senior_secondary,97,5
2022-12-20,9087,7,Male,upper_primary,88,3
2022-12-20,9043,7,Female,primary,98,2
2022-12-20,9011,4,Female,secondary,29,5
2022-12-20,9153,11,Female,upper_primary,26,3
2022-12-20,9211,7,Male,senior_secondary,97,2
2022-12-20,9194,3,Female,senior_secondary,27,2
2022-12-20,9249,5,Male,senior_secondary,78,5
2022-12-20,9552,6,Female,secondary,97,4
2022-12-20,9034,4,Male,senior_secondary,64,4
2022-12-20,9132,4,Male,primary,29,2
2022-12-20,9160,1,Male,primary,74,2
2022-12-20,9263,9,Male,upper_primary,22,3
2022-12-20,9467,12,Female,secondary,53,4
2022-12-20,9015,5,Male,senior_secondary,59,4
2022-12-20,9569,9,Male,primary,98,3
2022-12-20,9098,8,Female,secondary,98,4
2022-12-20,9438,1,Female,senior_secondary,38,3
2022-12-20,9424,2,Male,primary,29,4
2022-12-20,9241,7,Female,upper_primary,91,5
2022-12-20,9468,10,Female,primary,33,5
2022-12-20,9377,5,Female,secondary,92,3
2022-12-20,9098,5,Male,primary,75,5
2022-12-20,9066,7,Female,primary,72,5
2022-12-20,9046,9,Female,upper_primary,35,2
2022-12-20,9380,11,Male,secondary,20,3
2022-12-20,9056,3,Male,secondary,92,3
2022-12-20,9045,10,Male,upper_primary,89,4
2022-12-20,9297,8,Female,primary,95,3
2022-12-20,9122,5,Female,senior_secondary,46,5
2022-12-20,9336,8,Female,secondary,47,3
2022-12-20,9293,1,Male,primary,28,4
2022-12-20,9105,2,Male,upper_primary,90,3
2022-12-20,9233,6,Male,senior_secondary,67,3
2022-12-20,9552,1,Male,primary,86,3
2022-12-20,9106,12,Female,primary,38,4
2022-12-20,9514,9,Male,upper_primary,32,2
2022-12-20,9534,7,Male,upper_primary,45,5
2022-12-20,9219,3,Female,senior_secondary,49,3
2022-12-20,9038,5,Female,secondary,72,4
2022-12-20,9307,11,Male,upper_primary,74,5
2022-12-20,9168,3,Female,senior_secondary,48,5
2022-12-20,9046,6,Female,senior_secondary,20,4
2022-12-20,9105,10,Female,upper_primary,24,5
