academic_year,school_id,grade,total_teachers,students_enrolled
2022-12-20,9014,3,14,83
2022-12-20,9054,3,13,54
2022-12-20,9337,6,11,63
2022-12-20,9528,4,11,35
2022-12-20,9511,9,13,82
2022-12-20,9275,12,9,72
2022-12-20,9453,11,14,85
2022-12-20,9048,9,11,96
2022-12-20,9022,2,5,27
2022-12-20,9024,5,5,51
2022-12-20,9190,7,15,62
2022-12-20,9454,3,8,42
2022-12-20,9484,5,12,34
2022-12-20,9285,5,11,27
2022-12-20,9227,6,12,55
2022-12-20,9072,5,15,79
2022-12-20,9049,5,11,53
2022-12-20,9577,3,8,73
2022-12-20,9407,6,8,25
2022-12-20,9326,3,11,98
2022-12-20,9438,10,9,67
2022-12-20,9339,8,11,49
2022-12-20,9475,11,10,40
2022-12-20,9243,3,6,23
2022-12-20,9294,9,11,39
2022-12-20,9525,8,13,34
2022-12-20,9372,2,10,78
2022-12-20,9318,7,9,96
2022-12-20,9305,4,6,46
2022-12-20,9159,2,8,48
2022-12-20,9186,5,10,33
2022-12-20,9042,6,9,45
2022-12-20,9387,9,6,27
2022-12-20,9222,2,9,62
2022-12-20,9038,2,8,43
2022-12-20,9384,4,5,32
2022-12-20,9146,10,14,58
2022-12-20,9260,12,6,67
2022-12-20,9410,7,14,100
2022-12-20,9014,10,13,77
2022-12-20,9368,4,12,46
2022-12-20,9332,9,15,39
2022-12-20,9310,5,9,86
2022-12-20,9403,5,8,83
2022-12-20,9091,12,14,64
2022-12-20,9210,7,14,91
2022-12-20,9134,1,15,58
2022-12-20,9052,9,12,27
2022-12-20,9072,11,7,96
2022-12-20,9505,4,10,58
2022-12-20,9244,7,10,20
2022-12-20,9366,8,8,36
2022-12-20,9248,1,6,48
2022-12-20,9333,8,6,79
2022-12-20,9454,7,9,28
2022-12-20,9352,7,15,91
2022-12-20,9504,3,14,98
2022-12-20,9185,12,12,76
2022-12-20,9277,7,10,96
2022-12-20,9384,8,11,71
2022-12-20,9081,10,9,37
2022-12-20,9257,4,7,87
2022-12-20,9210,8,9,43
2022-12-20,9340,8,10,98
2022-12-20,9386,7,14,25
2022-12-20,9418,1,12,29
2022-12-20,9390,4,15,87
2022-12-20,9142,5,8,52
2022-12-20,9334,4,13,25
2022-12-20,9073,5,11,61
2022-12-20,9258,12,10,47
2022-12-20,9233,9,15,30
2022-12-20,9498,3,6,89
2022-12-20,9128,6,11,54
2022-12-20,9137,6,9,89
2022-12-20,9205,2,8,57
2022-12-20,9546,4,15,85
2022-12-20,9165,6,9,59
2022-12-20,9201,7,8,100
2022-12-20,9197,5,5,36
2022-12-20,9375,9,5,50
2022-12-20,9424,12,6,75
2022-12-20,9479,6,11,80
