grade,school_id,school_name,school_type,school_category,cluster_id,cluster_name,block_id,block_name,district_id,district_name,state_id,state_name
11,9203728595,scl_9203728595,urban,upper_primary,123489238,cluster_123489238,12352,block_12352,126,district_126,1,state_01
9,9260385235,scl_9260385235,rural,senior_secondary,123479967,cluster_123479967,12353,block_12353,132,district_132,1,state_01
11,9435571365,scl_9435571365,rural,upper_primary,123490989,cluster_123490989,12348,block_12348,129,district_129,1,state_01
9,9555001870,scl_9555001870,rural,senior_secondary,123481265,cluster_123481265,12353,block_12353,128,district_128,1,state_01
2,9416914568,scl_9416914568,rural,secondary,123479659,cluster_123479659,12349,block_12349,132,district_132,1,state_01
6,9450738747,scl_9450738747,urban,secondary,123458975,cluster_123458975,12354,block_12354,128,district_128,1,state_01
12,9021993066,scl_9021993066,rural,senior_secondary,123486046,cluster_123486046,12350,block_12350,126,district_126,1,state_01
2,9162453215,scl_9162453215,rural,primary,123458994,cluster_123458994,12352,block_12352,129,district_129,1,state_01
10,9547120526,scl_9547120526,urban,secondary,123466517,cluster_123466517,12352,block_12352,130,district_130,1,state_01
12,9103320702,scl_9103320702,urban,secondary,123473999,cluster_123473999,12351,block_12351,131,district_131,1,state_01
3,9165899088,scl_9165899088,rural,secondary,123487040,cluster_123487040,12352,block_12352,131,district_131,1,state_01
9,9281631076,scl_9281631076,urban,upper_primary,123475115,cluster_123475115,12353,block_12353,129,district_129,1,state_01
3,9250933002,scl_9250933002,urban,senior_secondary,123462993,cluster_123462993,12355,block_12355,129,district_129,1,state_01
8,9245079263,scl_9245079263,urban,upper_primary,123480110,cluster_123480110,12345,block_12345,125,district_125,1,state_01
9,9036286117,scl_9036286117,urban,secondary,123474529,cluster_123474529,12346,block_12346,130,district_130,1,state_01
3,9253315610,scl_9253315610,urban,secondary,123489506,cluster_123489506,12347,block_12347,125,district_125,1,state_01
2,9025774554,scl_9025774554,urban,senior_secondary,123463437,cluster_123463437,12351,block_12351,130,district_130,1,state_01
11,9519155063,scl_9519155063,rural,upper_primary,123471882,cluster_123471882,12352,block_12352,123,district_123,1,state_01
1,9134485881,scl_9134485881,rural,primary,123469052,cluster_123469052,12350,block_12350,128,district_128,1,state_01
12,9574616933,scl_9574616933,urban,senior_secondary,123496756,cluster_123496756,12351,block_12351,124,district_124,1,state_01
7,9506253302,scl_9506253302,rural,upper_primary,123474450,cluster_123474450,12350,block_12350,125,district_125,1,state_01
11,9167522926,scl_9167522926,rural,primary,123476704,cluster_123476704,12355,block_12355,125,district_125,1,state_01
7,9411512765,scl_9411512765,urban,upper_primary,123491514,cluster_123491514,12353,block_12353,130,district_130,1,state_01
