template,program,event_name,dataset_name
EventToCubePerIncrement,SAC,students_attendance,students_attendance_compliance_by_school
CubeToCubePerFilterIncrement,SAC,students_attendance,students_attendance_compliance_by_cluster
CubeToCubePerIncrement,SAC,students_attendance,students_attendance_compliance_by_block
CubeToCubePerIncrement,SAC,students_attendance,students_attendance_compliance_by_district
CubeToCubePerIncrement,SAC,students_attendance,students_attendance_compliance_by_state
EventToCubePerIncrement,SAC,students_attendance,students_average_attendance_by_grade
CubeToCubePerIncrement,SAC,students_attendance,students_average_attendance_by_school
CubeToCubePerIncrement,SAC,students_attendance,students_average_attendance_by_cluster
CubeToCubePerIncrement,SAC,students_attendance,students_average_attendance_by_block
CubeToCubePerIncrement,SAC,students_attendance,students_average_attendance_by_district
CubeToCubePerIncrement,SAC,students_attendance,students_average_attendance_by_state
EventToCubePerIncrement,SAC,students_attendance,students_average_attendance_gender_wise_by_grade
CubeToCubePerIncrement,SAC,students_attendance,students_average_attendance_gender_wise_by_school
CubeToCubePerIncrement,SAC,students_attendance,students_average_attendance_gender_wise_by_cluster
CubeToCubePerIncrement,SAC,students_attendance,students_average_attendance_gender_wise_by_block
CubeToCubePerIncrement,SAC,students_attendance,students_average_attendance_gender_wise_by_district
CubeToCubePerIncrement,SAC,students_attendance,students_average_attendance_gender_wise_by_state
EventToCubePerIncrement,SAC,students_attendance,students_average_attendance_category_wise_by_school
CubeToCubePerIncrement,SAC,students_attendance,students_average_attendance_category_wise_by_cluster
CubeToCubePerIncrement,SAC,students_attendance,students_average_attendance_category_wise_by_block
CubeToCubePerIncrement,SAC,students_attendance,students_average_attendance_category_wise_by_district
CubeToCubePerIncrement,SAC,students_attendance,students_average_attendance_category_wise_by_state
EventToCubePerIncrement,SAC,teachers_attendance,teachers_attendance_compliance_by_school
CubeToCubePerFilterIncrement,SAC,teachers_attendance,teachers_attendance_compliance_by_cluster
CubeToCubePerIncrement,SAC,teachers_attendance,teachers_attendance_compliance_by_block
CubeToCubePerIncrement,SAC,teachers_attendance,teachers_attendance_compliance_by_district
CubeToCubePerIncrement,SAC,teachers_attendance,teachers_attendance_compliance_by_state
EventToCubePerIncrement,SAC,teachers_attendance,teachers_average_attendance_by_school
CubeToCubePerIncrement,SAC,teachers_attendance,teachers_average_attendance_by_cluster
CubeToCubePerIncrement,SAC,teachers_attendance,teachers_average_attendance_by_block
CubeToCubePerIncrement,SAC,teachers_attendance,teachers_average_attendance_by_district
CubeToCubePerIncrement,SAC,teachers_attendance,teachers_average_attendance_by_state
EventToCubeIncrement,School_Statistics,school_statistics_students,school_statistics_total_schools_by_cluster
CubeToCubeIncrement,School_Statistics,school_statistics_students,school_statistics_total_schools_by_block
CubeToCubeIncrement,School_Statistics,school_statistics_students,school_statistics_total_schools_by_district
