transformer_template,program,event_name,dataset_name
EventToCubePerIncrement,SAC,event_students_attendance,SAC_students_attendance_compliance_by_school
CubeToCubePerFilterIncrement,SAC,event_students_attendance,SAC_students_attendance_compliance_by_cluster
CubeToCubePerIncrement,SAC,event_students_attendance,SAC_students_attendance_compliance_by_block
CubeToCubePerIncrement,SAC,event_students_attendance,SAC_students_attendance_compliance_by_district
CubeToCubePerIncrement,SAC,event_students_attendance,SAC_students_attendance_compliance_by_state
EventToCubePerIncrement,SAC,event_students_attendance,SAC_students_average_attendance_by_grade
CubeToCubePerIncrement,SAC,event_students_attendance,SAC_students_average_attendance_by_school
CubeToCubePerIncrement,SAC,event_students_attendance,SAC_students_average_attendance_by_cluster
CubeToCubePerIncrement,SAC,event_students_attendance,SAC_students_average_attendance_by_block
CubeToCubePerIncrement,SAC,event_students_attendance,SAC_students_average_attendance_by_district
CubeToCubePerIncrement,SAC,event_students_attendance,SAC_students_average_attendance_by_state
EventToCubePerIncrement,SAC,event_students_attendance,SAC_students_average_attendance_gender_wise_by_grade
CubeToCubePerIncrement,SAC,event_students_attendance,SAC_students_average_attendance_gender_wise_by_school
CubeToCubePerIncrement,SAC,event_students_attendance,SAC_students_average_attendance_gender_wise_by_cluster
CubeToCubePerIncrement,SAC,event_students_attendance,SAC_students_average_attendance_gender_wise_by_block
CubeToCubePerIncrement,SAC,event_students_attendance,SAC_students_average_attendance_gender_wise_by_district
CubeToCubePerIncrement,SAC,event_students_attendance,SAC_students_average_attendance_gender_wise_by_state
EventToCubePerIncrement,SAC,event_students_attendance,SAC_students_average_attendance_category_wise_by_school
CubeToCubePerIncrement,SAC,event_students_attendance,SAC_students_average_attendance_category_wise_by_cluster
CubeToCubePerIncrement,SAC,event_students_attendance,SAC_students_average_attendance_category_wise_by_block
CubeToCubePerIncrement,SAC,event_students_attendance,SAC_students_average_attendance_category_wise_by_district
CubeToCubePerIncrement,SAC,event_students_attendance,SAC_students_average_attendance_category_wise_by_state
EventToCubePerIncrement,SAC,event_teachers_attendance,SAC_teachers_attendance_compliance_by_school
CubeToCubePerFilterIncrement,SAC,event_teachers_attendance,SAC_teachers_attendance_compliance_by_cluster
CubeToCubePerIncrement,SAC,event_teachers_attendance,SAC_teachers_attendance_compliance_by_block
CubeToCubePerIncrement,SAC,event_teachers_attendance,SAC_teachers_attendance_compliance_by_district
CubeToCubePerIncrement,SAC,event_teachers_attendance,SAC_teachers_attendance_compliance_by_state
EventToCubePerIncrement,SAC,event_teachers_attendance,SAC_teachers_average_attendance_by_school
CubeToCubePerIncrement,SAC,event_teachers_attendance,SAC_teachers_average_attendance_by_cluster
CubeToCubePerIncrement,SAC,event_teachers_attendance,SAC_teachers_average_attendance_by_block
CubeToCubePerIncrement,SAC,event_teachers_attendance,SAC_teachers_average_attendance_by_district
CubeToCubePerIncrement,SAC,event_teachers_attendance,SAC_teachers_average_attendance_by_state
EventToCubeIncrement,School_Statistics,event_school_statistics_students,School_Statistics_total_schools_by_cluster
CubeToCubeIncrement,School_Statistics,event_school_statistics_students,School_Statistics_total_schools_by_block
CubeToCubeIncrement,School_Statistics,event_school_statistics_students,School_Statistics_total_schools_by_district
CubeToCubeIncrement,School_Statistics,event_school_statistics_students,School_Statistics_total_schools_by_state
E&CToCubePerIncrement,School_Statistics,event_school_statistics_students,School_Statistics_category_wise_schools_by_cluster
CubeToCubePerIncrement,School_Statistics,event_school_statistics_students,School_Statistics_category_wise_schools_by_block
CubeToCubePerIncrement,School_Statistics,event_school_statistics_students,School_Statistics_category_wise_schools_by_district
CubeToCubePerIncrement,School_Statistics,event_school_statistics_students,School_Statistics_category_wise_schools_by_state
EventToCubeIncrement,School_Statistics,event_school_statistics_students,School_Statistics_total_enrollment_by_grade
CubeToCubeIncrement,School_Statistics,event_school_statistics_students,School_Statistics_total_enrollment_by_school
CubeToCubeIncrement,School_Statistics,event_school_statistics_students,School_Statistics_total_enrollment_by_cluster
CubeToCubeIncrement,School_Statistics,event_school_statistics_students,School_Statistics_total_enrollment_by_block
CubeToCubeIncrement,School_Statistics,event_school_statistics_students,School_Statistics_total_enrollment_by_district
CubeToCubeIncrement,School_Statistics,event_school_statistics_students,School_Statistics_total_enrollment_by_state
EventToCubeIncrement,School_Statistics,event_school_statistics_students,School_Statistics_gender_wise_enrollment_by_grade
CubeToCubeIncrement,School_Statistics,event_school_statistics_students,School_Statistics_gender_wise_enrollment_by_school
CubeToCubeIncrement,School_Statistics,event_school_statistics_students,School_Statistics_gender_wise_enrollment_by_cluster
CubeToCubeIncrement,School_Statistics,event_school_statistics_students,School_Statistics_gender_wise_enrollment_by_block
CubeToCubeIncrement,School_Statistics,event_school_statistics_students,School_Statistics_gender_wise_enrollment_by_district
CubeToCubeIncrement,School_Statistics,event_school_statistics_students,School_Statistics_gender_wise_enrollment_by_state
E&CToCubePerIncrement,School_Statistics,event_school_statistics_students,School_Statistics_cwsn_enrollment_by_grade
CubeToCubePerIncrement,School_Statistics,event_school_statistics_students,School_Statistics_cwsn_enrollment_by_school
CubeToCubePerIncrement,School_Statistics,event_school_statistics_students,School_Statistics_cwsn_enrollment_by_cluster
CubeToCubePerIncrement,School_Statistics,event_school_statistics_students,School_Statistics_cwsn_enrollment_by_block
CubeToCubePerIncrement,School_Statistics,event_school_statistics_students,School_Statistics_cwsn_enrollment_by_district
CubeToCubePerIncrement,School_Statistics,event_school_statistics_students,School_Statistics_cwsn_enrollment_by_state
E&CToCubePerIncrement,School_Statistics,event_school_statistics_students,School_Statistics_grade_wise_enrollment_by_school
CubeToCubePerIncrement,School_Statistics,event_school_statistics_students,School_Statistics_grade_wise_enrollment_by_cluster
CubeToCubePerIncrement,School_Statistics,event_school_statistics_students,School_Statistics_grade_wise_enrollment_by_block
CubeToCubePerIncrement,School_Statistics,event_school_statistics_students,School_Statistics_grade_wise_enrollment_by_district
CubeToCubePerIncrement,School_Statistics,event_school_statistics_students,School_Statistics_grade_wise_enrollment_by_state
E&CToCubePerIncrement,School_Statistics,event_school_statistics_students,School_Statistics_students_category_wise_enrollment_by_grade
CubeToCubePerIncrement,School_Statistics,event_school_statistics_students,School_Statistics_students_category_wise_enrollment_by_school
CubeToCubePerIncrement,School_Statistics,event_school_statistics_students,School_Statistics_students_category_wise_enrollment_by_cluster
CubeToCubePerIncrement,School_Statistics,event_school_statistics_students,School_Statistics_students_category_wise_enrollment_by_block
CubeToCubePerIncrement,School_Statistics,event_school_statistics_students,School_Statistics_students_category_wise_enrollment_by_district
CubeToCubePerIncrement,School_Statistics,event_school_statistics_students,School_Statistics_students_category_wise_enrollment_by_state
EventToCubeIncrement,School_Statistics,event_school_statistics_students,School_Statistics_total_teachers_by_school
CubeToCubeIncrement,School_Statistics,event_school_statistics_teachers,School_Statistics_total_teachers_by_cluster
CubeToCubeIncrement,School_Statistics,event_school_statistics_teachers,School_Statistics_total_teachers_by_block
CubeToCubeIncrement,School_Statistics,event_school_statistics_teachers,School_Statistics_total_teachers_by_district
CubeToCubeIncrement,School_Statistics,event_school_statistics_teachers,School_Statistics_total_teachers_by_state
E&CToCubePerIncrement,School_Statistics,event_school_statistics_teachers,School_Statistics_grade_wise_teachers_by_school
CubeToCubePerIncrement,School_Statistics,event_school_statistics_teachers,School_Statistics_grade_wise_teachers_by_cluster
CubeToCubePerIncrement,School_Statistics,event_school_statistics_teachers,School_Statistics_grade_wise_teachers_by_block
CubeToCubePerIncrement,School_Statistics,event_school_statistics_teachers,School_Statistics_grade_wise_teachers_by_district
CubeToCubePerIncrement,School_Statistics,event_school_statistics_teachers,School_Statistics_grade_wise_teachers_by_state
EventToCubeIncrement,School_Statistics,event_school_statistics_teachers,School_Statistics_average_pupil_teacher_ratio_by_grade
CubeToCubeIncrement,School_Statistics,event_school_statistics_teachers,School_Statistics_average_pupil_teacher_ratio_by_school
CubeToCubeIncrement,School_Statistics,event_school_statistics_teachers,School_Statistics_average_pupil_teacher_ratio_by_cluster
CubeToCubeIncrement,School_Statistics,event_school_statistics_teachers,School_Statistics_average_pupil_teacher_ratio_by_block
CubeToCubeIncrement,School_Statistics,event_school_statistics_teachers,School_Statistics_average_pupil_teacher_ratio_by_district
CubeToCubeIncrement,School_Statistics,event_school_statistics_teachers,School_Statistics_average_pupil_teacher_ratio_by_state
EventToCubeIncrement,School_Statistics,event_school_statistics_teachers,School_Statistics_grade_wise_average_pupil_teacher_ratio_by_school
CubeToCubeIncrement,School_Statistics,event_school_statistics_teachers,School_Statistics_grade_wise_average_pupil_teacher_ratio_by_cluster
CubeToCubeIncrement,School_Statistics,event_school_statistics_teachers,School_Statistics_grade_wise_average_pupil_teacher_ratio_by_block
CubeToCubeIncrement,School_Statistics,event_school_statistics_teachers,School_Statistics_grade_wise_average_pupil_teacher_ratio_by_district
CubeToCubeIncrement,School_Statistics,event_school_statistics_teachers,School_Statistics_grade_wise_average_pupil_teacher_ratio_by_state
