grade,school_id,school_name,school_type,school_category,cluster_id,cluster_name,block_id,block_name,district_id,district_name,state_id,state_name
8,1000000007,school_1000000007,urban,upper_primary,100000004,cluster_100000004,10007,block_10007,102,district_102,9,state_9
12,1000000001,school_1000000001,rural,senior_secondary,100000006,cluster_100000006,10008,block_10008,105,district_105,7,state_7
12,1000000007,school_1000000007,rural,senior_secondary,100000001,cluster_100000001,10005,block_10005,110,district_110,1,state_1
10,1000000004,school_1000000004,rural,upper_primary,100000006,cluster_100000006,10000,block_10000,108,district_108,7,state_7
9,1000000002,school_1000000002,rural,upper_primary,100000003,cluster_100000003,10002,block_10002,110,district_110,8,state_8
4,1000000003,school_1000000003,rural,primary,100000006,cluster_100000006,10004,block_10004,101,district_101,2,state_2
9,1000000010,school_1000000010,urban,upper_primary,100000000,cluster_100000000,10007,block_10007,104,district_104,3,state_3
4,1000000008,school_1000000008,urban,primary,100000005,cluster_100000005,10001,block_10001,101,district_101,3,state_3
11,1000000009,school_1000000009,rural,senior_secondary,100000003,cluster_100000003,10001,block_10001,107,district_107,4,state_4
12,1000000005,school_1000000005,rural,senior_secondary,100000009,cluster_100000009,10000,block_10000,102,district_102,8,state_8
2,1000000003,school_1000000003,rural,primary,100000005,cluster_100000005,10004,block_10004,102,district_102,5,state_5
7,1000000005,school_1000000005,rural,secondary,100000006,cluster_100000006,10000,block_10000,109,district_109,2,state_2
3,1000000002,school_1000000002,urban,primary,100000004,cluster_100000004,10005,block_10005,101,district_101,2,state_2
6,1000000006,school_1000000006,rural,secondary,100000009,cluster_100000009,10004,block_10004,106,district_106,3,state_3
1,1000000007,school_1000000007,rural,primary,100000008,cluster_100000008,10002,block_10002,106,district_106,1,state_1
12,1000000001,school_1000000001,urban,senior_secondary,100000008,cluster_100000008,10009,block_10009,101,district_101,8,state_8
11,1000000010,school_1000000010,rural,senior_secondary,100000002,cluster_100000002,10003,block_10003,108,district_108,4,state_4
