academic_year,school_id,grade,gender,student_category,students_enrolled,cwsn_enrolled
2022,9430612434,9,male,general,22,5
2022,9137653385,4,female,sc,21,3
2022,9376755798,10,male,other,27,2
2022,9156323446,1,male,general,24,4
2022,9379825327,1,female,obc,22,4
2022,9013553201,6,female,obc,28,5
2022,9564912079,8,female,other,30,2
2022,9164664056,1,female,general,26,3
2022,9492568221,3,female,obc,24,4
2022,9053611641,8,female,obc,21,2
2022,9317109010,9,female,sc,26,3
2022,9420796297,8,male,other,20,3
2022,9186468101,3,female,sc,20,3
2022,9506179058,6,female,st,28,5
2022,9055979845,9,female,obc,25,2
2022,9498987556,10,male,st,29,4
2022,9231215781,2,female,sc,25,4
2022,9205028355,8,male,obc,27,2
2022,9108873596,8,female,sc,20,4
2022,9181726487,11,male,st,21,3
2022,9049745232,12,female,obc,29,2
2022,9050715263,6,female,sc,26,3
2022,9449703871,11,female,st,24,2
2022,9182207828,9,female,st,21,4
2022,9510897761,4,male,sc,20,3
2022,9506070028,3,female,obc,22,5
2022,9313458440,9,female,obc,28,3
2022,9452448727,11,female,obc,22,5
2022,9511367630,8,male,sc,28,3
2022,9199921210,12,female,sc,20,3
2022,9248784174,10,female,st,30,3
2022,9276624109,3,female,obc,26,2
2022,9037322324,6,male,general,27,3
2022,9145083469,6,female,general,20,3
2022,9185697409,5,female,sc,27,5
2022,9066359155,4,female,general,26,5
2022,9103291805,11,male,sc,28,5
2022,9557363835,11,male,sc,25,4
2022,9024013941,7,male,obc,26,3
2022,9562038304,9,female,general,20,5
2022,9278940317,6,female,obc,26,4
2022,9540148760,6,female,sc,28,2
2022,9301143562,8,male,other,26,2
2022,9326965614,7,male,sc,26,4
2022,9001192935,8,male,obc,21,5
2022,9288514318,6,female,other,23,5
2022,9258502443,4,female,obc,29,4
2022,9321395836,11,female,obc,20,4
2022,9156750037,1,male,obc,25,5
2022,9272346798,5,female,st,23,2
2022,9091789498,12,female,other,29,3
2022,9337464834,3,male,general,23,4
2022,9023314574,6,male,st,29,5
2022,9314427524,2,male,st,27,3
2022,9136358365,11,female,sc,28,2
2022,9334448969,2,male,general,27,2
2022,9063190296,12,male,other,29,2
2022,9518645339,1,female,general,28,5
2022,9548423037,6,female,sc,27,5
2022,9415324394,1,male,obc,21,2
2022,9558504834,7,male,general,22,5
2022,9000936931,12,male,other,26,4
