academic_year,school_id,grade,total_teachers,students_enrolled
2022,9378986118,5,13,24
2022,9296090564,5,7,24
2022,9315110894,9,9,24
2022,9177589719,2,9,22
2022,9276162787,2,7,28
2022,9445224500,5,8,20
2022,9276234609,10,10,24
2022,9123969333,8,15,21
2022,9233863571,11,5,24
2022,9312366386,4,13,22
2022,9383605067,10,9,28
2022,9504222196,6,11,24
2022,9233507797,10,14,24
2022,9308178980,5,15,28
2022,9354650403,4,5,27
2022,9481332614,5,8,29
2022,9444990531,4,12,28
2022,9399575119,5,6,23
2022,9473943674,10,12,30
2022,9338769640,11,15,26
2022,9225143239,12,15,20
2022,9187333682,8,11,24
2022,9380173973,12,6,30
2022,9500618357,10,5,27
2022,9153877111,11,9,25
2022,9371881134,3,12,27
2022,9349382233,1,10,23
2022,9343524329,6,13,21
2022,9479232279,11,8,27
2022,9511544765,9,12,27
2022,9346038327,2,13,21
2022,9099692474,8,9,28
2022,9251552040,6,15,24
2022,9430820656,12,7,26
2022,9134198108,4,14,20
2022,9419992952,12,7,23
2022,9247991184,10,12,26
2022,9366972752,7,8,21
2022,9541953833,6,5,23
2022,9205423593,5,15,25
2022,9290774943,11,13,24
2022,9295637598,1,15,24
2022,9354423007,9,9,24
2022,9030180709,4,9,21
2022,9295936561,7,12,26
2022,9301560817,3,8,20
2022,9105293421,12,14,23
2022,9186942755,11,7,30
2022,9253350296,6,8,22
2022,9014759358,6,6,23
2022,9021494815,6,7,21
2022,9325387070,11,7,29
2022,9466417930,11,15,21
2022,9320904388,11,15,26
2022,9006209050,8,9,27
2022,9522967077,7,12,26
2022,9571262421,5,7,30
2022,9528576877,5,5,24
2022,9078136205,2,12,26
2022,9191026572,1,11,29
2022,9082700294,5,15,21
2022,9253260575,9,7,27
2022,9397629038,11,9,28
2022,9434085554,5,5,26
2022,9548422090,9,11,24
2022,9056587460,10,8,28
2022,9285068971,10,7,22
2022,9534276503,4,13,25
2022,9084739385,9,12,29
2022,9337007662,4,6,21
2022,9253524920,1,7,30
2022,9531938416,12,8,20
2022,9244181756,6,6,29
2022,9404239264,9,10,27
2022,9511592687,1,10,21
2022,9357610950,11,11,26
2022,9560865204,2,9,28
2022,9017146229,8,11,28
2022,9485910679,8,8,26
2022,9411105092,10,10,21
2022,9310541795,3,7,23
2022,9562045011,11,10,25
2022,9267938653,2,7,24
2022,9285735947,3,9,23
2022,9097677552,8,7,27
2022,9201975055,2,15,30
2022,9418026285,7,12,29
2022,9231781321,9,11,29
2022,9023138220,10,13,22
2022,9410607261,4,5,29
2022,9081420274,3,5,24
2022,9382009009,2,5,28
2022,9079978895,11,14,27
2022,9212257440,4,10,29
2022,9166909289,11,11,20
2022,9505948222,5,15,20
2022,9419854970,4,7,26
2022,9370821134,2,15,25
2022,9129904841,11,15,25
2022,9141782466,10,11,29
2022,9531715750,3,5,21
2022,9186246963,1,15,26
2022,9089560662,10,8,30
2022,9475980831,2,15,25
2022,9400562082,1,13,26
2022,9004561369,6,10,28
2022,9118873605,7,13,24
2022,9234423225,5,6,29
2022,9085352357,10,7,27
2022,9082449100,12,12,30
2022,9191918971,3,15,21
2022,9067317982,5,6,23
2022,9452763021,6,15,25
2022,9497648466,8,5,22
2022,9374701819,5,9,24
2022,9256197253,10,9,25
2022,9171810155,2,15,22
2022,9575408673,3,12,22
2022,9287473847,1,10,30
2022,9020567272,2,12,25
2022,9126228143,10,8,23
2022,9010313686,3,5,23
2022,9092286630,8,12,23
2022,9570641259,11,9,28
2022,9493438416,11,14,27
2022,9179919749,9,5,20
2022,9389424699,1,11,24
2022,9335661690,3,14,22
2022,9314801280,7,5,20
2022,9281331017,11,7,24
2022,9050120844,2,12,22
2022,9505354273,1,7,21
2022,9262844795,11,10,23
2022,9354639463,8,13,24
2022,9165149962,7,8,23
2022,9201627136,3,7,25
2022,9198644728,12,6,25
2022,9340188405,11,14,26
2022,9027856707,11,6,22
2022,9119545647,10,6,20
2022,9404093315,11,13,27
2022,9410471107,3,6,21
2022,9022282468,6,10,28
2022,9328601431,4,11,23
2022,9563415503,4,13,20
2022,9438526881,5,7,26
2022,9489419751,8,10,28
2022,9164469894,8,9,24
2022,9413238869,2,7,23
2022,9475592159,9,11,23
2022,9573032519,12,12,22
2022,9518844978,9,5,26
2022,9305817604,6,11,21
2022,9392018596,3,9,28
2022,9130074006,6,8,26
2022,9261488225,2,15,22
2022,9129332408,1,6,23
2022,9167014451,10,15,27
2022,9299531191,4,15,25
2022,9137080475,4,6,22
2022,9469795967,3,10,21
2022,9030430701,8,12,22
2022,9367518926,7,10,20
2022,9121235260,5,14,24
2022,9578325588,6,8,23
2022,9544156845,7,8,25
2022,9041920923,5,11,29
2022,9157474823,6,11,25
2022,9465582468,5,11,30
2022,9557229604,11,13,25
2022,9143790485,6,8,21
2022,9091444916,3,13,25
2022,9530208329,5,12,27
2022,9300636095,12,8,20
2022,9525739749,8,12,30
2022,9259568685,4,8,30
