date,school_id,grade,teachers_marked_present,teachers_attendance_marked,total_teachers
2023-01-08,1000000001,9,14,30,43
2023-01-08,1000000009,2,15,38,42
2023-01-08,1000000010,5,10,37,42
2023-01-08,1000000001,9,10,34,45
2023-01-08,1000000002,7,25,32,41
2023-01-08,1000000005,11,25,38,42
2023-01-08,1000000001,12,13,36,43
2023-01-08,1000000007,11,22,34,43
2023-01-08,1000000003,7,14,33,41
2023-01-08,1000000009,9,23,33,42
2023-01-08,1000000002,1,26,36,45
2023-01-08,1000000006,5,10,32,40
2023-01-08,1000000003,4,23,32,42
2023-01-08,1000000005,2,22,32,45
2023-01-08,1000000005,8,19,31,40
2023-01-08,1000000001,1,23,34,41
2023-01-08,1000000005,2,21,33,41
2023-01-08,1000000005,6,13,37,43
2023-01-08,1000000007,6,16,34,45
2023-01-08,1000000009,3,15,34,45
2023-01-08,1000000007,2,11,34,43
2023-01-08,1000000006,3,26,39,40
2023-01-08,1000000003,8,19,32,41
2023-01-08,1000000009,3,12,37,41
2023-01-08,1000000009,5,20,38,42
2023-01-08,1000000004,7,29,30,44
2023-01-08,1000000004,9,13,33,43
2023-01-08,1000000009,12,21,33,42
2023-01-08,1000000009,3,21,37,40
2023-01-08,1000000002,5,13,31,45
2023-01-08,1000000002,7,27,37,44
2023-01-08,1000000002,12,19,32,43
2023-01-08,1000000007,10,20,38,44
2023-01-08,1000000003,4,23,36,40
2023-01-08,1000000006,7,25,39,42
2023-01-08,1000000002,6,16,37,42
2023-01-08,1000000006,2,11,38,41
2023-01-08,1000000002,11,21,30,45
2023-01-08,1000000008,7,16,34,41
2023-01-08,1000000007,1,26,32,43
2023-01-08,1000000005,12,28,36,41
2023-01-08,1000000006,10,24,34,40
2023-01-08,1000000005,12,21,30,43
2023-01-08,1000000002,9,20,33,41
2023-01-08,1000000003,5,21,31,45
2023-01-08,1000000006,5,15,35,44
2023-01-08,1000000008,4,12,37,41
2023-01-08,1000000004,6,29,35,44
2023-01-08,1000000010,12,21,32,40
2023-01-08,1000000006,9,18,31,40
2023-01-08,1000000002,11,29,35,45
2023-01-08,1000000007,5,16,36,41
2023-01-08,1000000003,8,26,34,40
2023-01-08,1000000002,1,26,32,40
2023-01-08,1000000002,4,26,39,44
2023-01-08,1000000005,2,24,33,45
2023-01-08,1000000005,9,12,34,44
2023-01-08,1000000010,3,26,33,41
2023-01-08,1000000005,12,13,30,44
2023-01-08,1000000010,12,21,37,41
2023-01-08,1000000003,6,12,39,44
2023-01-08,1000000002,11,14,39,43
2023-01-08,1000000006,7,18,31,44
2023-01-08,1000000001,9,15,35,42
2023-01-08,1000000003,1,29,34,42
2023-01-08,1000000009,7,20,30,43
2023-01-08,1000000005,5,14,37,44
2023-01-08,1000000008,4,18,33,44
2023-01-08,1000000008,3,18,34,42
2023-01-08,1000000008,7,24,39,45
2023-01-08,1000000007,7,14,31,40
2023-01-08,1000000004,6,23,32,42
2023-01-08,1000000007,5,29,32,40
2023-01-08,1000000001,10,22,30,40
2023-01-08,1000000010,10,10,38,44
2023-01-08,1000000007,12,21,33,43
2023-01-08,1000000009,2,12,37,42
2023-01-08,1000000005,3,10,36,44
2023-01-08,1000000004,1,20,35,41
2023-01-08,1000000001,4,24,39,45
2023-01-08,1000000003,6,15,35,43
2023-01-08,1000000005,6,26,35,41
2023-01-08,1000000006,4,20,35,45
2023-01-08,1000000003,6,26,32,43
2023-01-08,1000000004,1,11,35,43
2023-01-08,1000000010,1,24,31,45
2023-01-08,1000000008,4,17,36,45
2023-01-08,1000000008,9,10,30,40
2023-01-08,1000000006,3,29,35,45
2023-01-08,1000000007,7,29,32,42
2023-01-08,1000000006,8,14,37,42
2023-01-08,1000000010,8,25,32,43
2023-01-08,1000000007,1,13,35,43
2023-01-08,1000000002,10,15,37,44
2023-01-08,1000000008,7,18,30,40
2023-01-08,1000000006,6,24,32,40
2023-01-08,1000000008,1,14,32,42
2023-01-08,1000000002,12,29,39,40
2023-01-08,1000000002,7,19,38,40
2023-01-08,1000000001,2,10,39,44
2023-01-08,1000000003,1,12,35,45
2023-01-08,1000000010,5,20,31,43
2023-01-08,1000000005,12,11,39,44
2023-01-08,1000000010,5,13,31,45
2023-01-08,1000000002,10,23,32,42
2023-01-08,1000000005,10,13,38,44
2023-01-08,1000000010,2,20,32,45
2023-01-08,1000000004,9,21,30,44
2023-01-08,1000000010,7,24,34,45
2023-01-08,1000000010,11,27,39,40
2023-01-08,1000000003,1,25,35,43
2023-01-08,1000000009,10,28,38,45
2023-01-08,1000000007,7,17,33,45
2023-01-08,1000000009,1,24,39,40
2023-01-08,1000000010,11,16,39,42
2023-01-08,1000000001,12,27,33,44
2023-01-08,1000000005,1,14,39,41
2023-01-08,1000000009,6,12,39,42
2023-01-08,1000000008,6,20,37,42
2023-01-08,1000000001,2,10,31,41
2023-01-08,1000000010,9,15,39,43
2023-01-08,1000000005,5,24,31,42
2023-01-08,1000000009,9,28,38,40
2023-01-08,1000000008,4,18,33,43
2023-01-08,1000000004,10,16,30,40
2023-01-08,1000000010,5,22,33,45
2023-01-08,1000000010,1,22,32,41
2023-01-08,1000000008,1,24,35,44
2023-01-08,1000000004,7,29,34,42
2023-01-08,1000000005,5,20,35,43
2023-01-08,1000000004,8,10,38,43
2023-01-08,1000000003,10,27,38,45
2023-01-08,1000000004,7,23,35,41
2023-01-08,1000000005,7,16,31,43
2023-01-08,1000000003,12,15,34,40
2023-01-08,1000000003,3,20,38,43
2023-01-08,1000000008,8,16,33,45
2023-01-08,1000000003,3,20,32,40
2023-01-08,1000000005,5,25,39,42
2023-01-08,1000000009,6,12,30,43
2023-01-08,1000000008,6,14,34,43
2023-01-08,1000000001,6,14,36,45
2023-01-08,1000000001,12,21,35,45
2023-01-08,1000000007,6,12,36,44
2023-01-08,1000000004,4,19,39,45
2023-01-08,1000000004,9,25,39,44
2023-01-08,1000000008,7,12,37,44
2023-01-08,1000000008,12,20,34,40
2023-01-08,1000000007,3,27,36,43
2023-01-08,1000000005,2,18,33,41
2023-01-08,1000000006,2,13,32,42
2023-01-08,1000000006,7,27,31,42
2023-01-08,1000000006,5,22,35,41
2023-01-08,1000000008,3,28,34,41
2023-01-08,1000000008,4,28,39,40
2023-01-08,1000000002,6,15,31,41
2023-01-08,1000000005,4,15,34,42
2023-01-08,1000000008,4,21,38,45
2023-01-08,1000000010,1,25,31,43
2023-01-08,1000000010,3,14,36,41
2023-01-08,1000000003,11,11,36,42
2023-01-08,1000000006,8,12,36,43
2023-01-08,1000000010,12,17,32,40
2023-01-08,1000000002,11,22,37,41
2023-01-08,1000000004,3,29,38,40
2023-01-08,1000000010,7,27,39,42
2023-01-08,1000000010,2,19,36,40
2023-01-08,1000000006,12,10,31,44
2023-01-08,1000000010,6,11,34,44
2023-01-08,1000000008,12,16,35,41
2023-01-08,1000000003,6,25,36,40
2023-01-08,1000000005,10,10,38,40
2023-01-08,1000000001,6,22,36,41
2023-01-08,1000000001,5,23,34,44
2023-01-08,1000000006,4,20,37,40
2023-01-08,1000000003,1,27,32,43
2023-01-08,1000000002,5,24,34,41
2023-01-08,1000000007,6,14,31,42
2023-01-08,1000000009,12,11,37,40
2023-01-08,1000000006,1,24,33,45
2023-01-08,1000000007,1,24,38,42
2023-01-08,1000000003,2,20,39,41
2023-01-08,1000000009,9,25,38,40
2023-01-08,1000000009,6,20,37,44
2023-01-08,1000000002,10,18,32,42
2023-01-08,1000000007,6,18,38,45
2023-01-08,1000000003,6,12,33,44
2023-01-08,1000000005,1,13,35,44
2023-01-08,1000000005,8,19,39,45
2023-01-08,1000000005,4,28,30,42
2023-01-08,1000000006,5,26,37,44
2023-01-08,1000000008,1,10,33,44
2023-01-08,1000000001,10,14,31,42
2023-01-08,1000000006,3,22,30,43
2023-01-08,1000000001,3,29,33,43
2023-01-08,1000000003,9,15,37,43
